Architecture,Dimension,Window,Neg_Samples,Vocab_Size
CBOW,50,2,5,7991
CBOW,50,2,10,7991
CBOW,50,2,15,7991
CBOW,50,5,5,7991
CBOW,50,5,10,7991
CBOW,50,5,15,7991
CBOW,50,8,5,7991
CBOW,50,8,10,7991
CBOW,50,8,15,7991
CBOW,100,2,5,7991
CBOW,100,2,10,7991
CBOW,100,2,15,7991
CBOW,100,5,5,7991
CBOW,100,5,10,7991
CBOW,100,5,15,7991
CBOW,100,8,5,7991
CBOW,100,8,10,7991
CBOW,100,8,15,7991
CBOW,200,2,5,7991
CBOW,200,2,10,7991
CBOW,200,2,15,7991
CBOW,200,5,5,7991
CBOW,200,5,10,7991
CBOW,200,5,15,7991
CBOW,200,8,5,7991
CBOW,200,8,10,7991
CBOW,200,8,15,7991
Skip-gram,50,2,5,7991
Skip-gram,50,2,10,7991
Skip-gram,50,2,15,7991
Skip-gram,50,5,5,7991
Skip-gram,50,5,10,7991
Skip-gram,50,5,15,7991
Skip-gram,50,8,5,7991
Skip-gram,50,8,10,7991
Skip-gram,50,8,15,7991
Skip-gram,100,2,5,7991
Skip-gram,100,2,10,7991
Skip-gram,100,2,15,7991
Skip-gram,100,5,5,7991
Skip-gram,100,5,10,7991
Skip-gram,100,5,15,7991
Skip-gram,100,8,5,7991
Skip-gram,100,8,10,7991
Skip-gram,100,8,15,7991
Skip-gram,200,2,5,7991
Skip-gram,200,2,10,7991
Skip-gram,200,2,15,7991
Skip-gram,200,5,5,7991
Skip-gram,200,5,10,7991
Skip-gram,200,5,15,7991
Skip-gram,200,8,5,7991
Skip-gram,200,8,10,7991
Skip-gram,200,8,15,7991
